CheeseId,ManufacturerProvCode,ManufacturingTypeEn,MoisturePercent,FlavourEn,CharacteristicsEn,Organic,CategoryTypeEn,MilkTypeEn,MilkTreatmentTypeEn,RindTypeEn,CheeseName,FatLevel
228,NB,Farmstead,47.0,"Sharp, lactic",Uncooked,0,Firm Cheese,Ewe,Raw Milk,Washed Rind,Sieur de Duplessis (Le),lower fat
242,NB,Farmstead,47.9,"Sharp, lactic, lightly caramelized",Uncooked,0,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Tomme Le Champ Doré,lower fat
301,ON,Industrial,54.0,"Mild, tangy, and fruity","Pressed and cooked cheese, pasta filata, interiror ripened",0,Firm Cheese,Cow,Pasteurized,,Provolone Sette Fette (Tre-Stelle),lower fat
303,NB,Farmstead,47.0,Sharp with fruity notes and a hint of wild honey,,0,Veined Cheeses,Cow,Raw Milk,,Geai Bleu (Le),lower fat
319,NB,Farmstead,49.4,Softer taste,,1,Semi-soft Cheese,Cow,Raw Milk,Washed Rind,Gamin (Le),lower fat
350,NB,Industrial,48.0,,Classic fresh cooking cheeses,0,Fresh Cheese,Cow,Pasteurized,,Paneer (Northumberland Co-operative),lower fat
374,ON,Industrial,52.0,"Rich, creamy, buttery, both subtle and tangy in taste",,0,Soft Cheese,Goat,Pasteurized,Bloomy Rind,Goat Brie (Woolwich),lower fat
375,ON,Industrial,41.0,Mild,"Whitem, smooth, firm textured",0,Firm Cheese,Goat,Pasteurized,,Goat Cheddar (Woolwich),lower fat
376,ON,Industrial,50.0,Mild,,0,Semi-soft Cheese,Goat,Pasteurized,,Goat Mozarella (Woolwich),lower fat
378,ON,Industrial,55.0,"Sharp, tangy, salty",With or without brine,0,Soft Cheese,Goat,Pasteurized,,Goat Feta (Woolwich),lower fat
379,ON,Industrial,57.0,Rich and creamy,Fresh cheese,0,Fresh Cheese,Goat,Pasteurized,,Madame Chèvre Elite,lower fat
414,BC,Farmstead,34.0,,"Organic. Made with Jersey Milk as such very rich, creamy and pleasing colour",1,Semi-soft Cheese,Cow,Raw Milk,,Gouda (Jerseyland Organic),higher fat
415,BC,Farmstead,34.0,,Organic. No dye/colour added.  Made from Jersey Milk,1,Semi-soft Cheese,Cow,Raw Milk,,Cheddar (Jerseyland Organic),higher fat
416,BC,Farmstead,33.0,,Organic. Our grana's are Parmesan and Asiago; these are from our own Jersey milk. No colouring added,1,Hard Cheese,Cow,Raw Milk,,Grana (Jerseyland Organic),higher fat
417,BC,Farmstead,43.0,Creamy and rich tasting.  Creamy in colour due to the carotene in Jersey milk,Organic. Made with Jersey milk,1,Soft Cheese,Cow,Raw Milk,,Feta (Jerseyland Organic),higher fat
418,BC,Farmstead,34.0,"Available : Plain , garlic and dill, mixed herbs",Organic,1,Semi-soft Cheese,Goat,Raw Milk,,Udderly Organic Goat Gouda (Jerseyland Organic),higher fat
419,BC,Farmstead,43.0,"Available : Plain,  sundried tomato and herbs",Organic,1,Soft Cheese,Goat,Raw Milk,,Udderly Organic Goat Feta (Jerseyland Organic),higher fat
629,BC,Artisan,41.0,"Spiked with a slightly warm, premium, cracked black pepper","Ripened, creamy cheese",0,Firm Cheese,Cow,Pasteurized,,Cracked Pepper Verdelait,higher fat
630,BC,Artisan,41.0,"Mild flavour of sweet butter and a delicate, smokey, exotic, lemony finish",,0,Firm Cheese,Cow,Pasteurized,,Cumin Verdelait,higher fat
631,BC,Artisan,41.0,Flavourful blend of garlic and chives,,0,Firm Cheese,Cow,Pasteurized,,Garlic and Chive Verdelait,higher fat
632,BC,Artisan,41.0,"Ginger, garlic and local organic wasabi.",,0,Firm Cheese,Cow,Pasteurized,,Wasabi Verdelait,higher fat
648,BC,Artisan,48.0,Creamy with a note of mushroom,"Ripened,",0,Soft Cheese,Cow,Pasteurized,,Comox Camembert,lower fat
655,ON,Industrial,45.0,Mild to sharp with light smoky flavour Also available with Omega 3,Supple and smooth with a golden-yellow waxed rind,0,Firm Cheese,Cow,Pasteurized,,Provolone (Silani),lower fat
656,ON,Industrial,80.0,Milky Also available with Omega 3,"Granular, creamy and soft in texture",0,Fresh Cheese,Cow,Pasteurized,No Rind,Ricotta (Silani),lower fat
657,AB,Farmstead,43.0,"Basil, black pepper, black pepper and garlic, cumin, dill, fenugreek, friesian cloves, green peppercorn, greeen peppecorn with cayenne, italian herbs","Mild, medium, aged",0,Firm Cheese,Cow,Pasteurized,,Gouda (Sylvan Star Ltd.),lower fat
658,ON,Farmstead,39.0,"Mild and sweet, nutty and buttery flavour.",Made from Guernsey milk.,0,Semi-soft Cheese,Cow,Pasteurized,Washed Rind,Niagara Gold,higher fat
662,ON,Industrial,39.0,,,0,Firm Cheese,Cow,Pasteurized,No Rind,Cheddar (Balderson),higher fat
663,ON,Industrial,39.0,"Five peppers, garlic, dill, chives, fine herbs and tomato, apple etc","Curds, mild, medium, old, extra old, extra old 5 years.",0,Firm Cheese,Cow,Pasteurized,,Cheddars (Fromagerie St-Albert),higher fat
664,NS,Farmstead,42.0,"Mild, medium, old, caraway, cumin, cumin and cloves, fines herbs, garlic, pepper mix, smoked.","Natural rind, shaped into wheels, smooth",0,Firm Cheese,Cow,Thermised,,Gouda (That Dutchman's Farm),lower fat
665,NS,Farmstead,42.0,"Delicate, a bit spicy.",Blue cheese dipped in black wax,0,Soft Cheese,Cow,Raw Milk,,Dragon's Breath,lower fat
667,ON,Industrial,55.0,Mild,,0,Fresh Cheese,Cow,Pasteurized,No Rind,Feta (Black Diamond),lower fat
721,ON,Artisan,60.0,Mild tangy taste,Creamy,0,Fresh Cheese,Ewe,Pasteurized,No Rind,Brebis frais (Best Baa Dairy),lower fat
722,ON,Artisan,42.0,Mild,"Creamy, covered with a green wax",0,Semi-soft Cheese,Ewe,Raw Milk,,Eweda cru (Best Baa Dairy),higher fat
723,ON,Artisan,55.0,,"White rind, creamier than camembert",0,Soft Cheese,Ewe,Pasteurized,Bloomy Rind,Ramembert (Best Baa Dairy),lower fat
724,ON,Artisan,,Mild,Creamy,0,Fresh Cheese,Ewe,Pasteurized,,Feta (Best Baa Dairy),lower fat
728,ON,Industrial,34.0,"Mild, medium, extra-old, 4 and 5 year-old",White and orange,0,Firm Cheese,Cow,Thermised,No Rind,Cheddar (Bright Brand),higher fat
730,ON,Artisan,47.0,,,0,Semi-soft Cheese,Ewe,Pasteurized,,Eweda (Best Baa Dairy),higher fat
731,ON,Artisan,48.0,,,0,Semi-soft Cheese,Ewe,Raw Milk,,Mouton rouge (Best Baa Dairy),higher fat
732,ON,Artisan,58.0,,,0,Semi-soft Cheese,Ewe,Raw Milk,,Brigitte (Best Baa Dairy),lower fat
756,NS,Industrial,44.0,,,0,Semi-soft Cheese,Cow,Pasteurized,No Rind,Mozzarella (Farmers Cooporative Dairies),lower fat
777,BC,Artisan,48.0,White truffles,Creamy,0,Soft Cheese,Cow,Pasteurized,,Okanagan Double Cream Camembert,higher fat
778,BC,Artisan,47.0,Intense Blue Flavour,,0,Veined Cheeses,Cow,Pasteurized,,Tiger Blue,lower fat
