age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hrs_per_week,native.country,income
74,0,88638,Doctorate,16,0,Prof-specialty,Other-relative,White,0,0,3683,20,United-States,>50K
41,1,70037,Some-college,10,0,Craft-repair,Unmarried,White,1,0,3004,60,?,>50K
45,1,172274,Doctorate,16,5,Prof-specialty,Unmarried,Black,0,0,3004,35,United-States,>50K
38,2,164526,Prof-school,15,0,Prof-specialty,Not-in-family,White,1,0,2824,45,United-States,>50K
52,1,129177,Bachelors,13,6,Other-service,Not-in-family,White,0,0,2824,20,United-States,>50K
32,1,136204,Masters,14,4,Exec-managerial,Not-in-family,White,1,0,2824,55,United-States,>50K
51,?,172175,Doctorate,16,0,?,Not-in-family,White,1,0,2824,40,United-States,>50K
46,1,45363,Prof-school,15,5,Prof-specialty,Not-in-family,White,1,0,2824,40,United-States,>50K
45,1,172822,11th,7,5,Transport-moving,Not-in-family,White,1,0,2824,76,United-States,>50K
57,1,317847,Masters,14,5,Exec-managerial,Not-in-family,White,1,0,2824,50,United-States,>50K
22,1,119592,Assoc-acdm,12,0,Handlers-cleaners,Not-in-family,Black,1,0,2824,40,?,>50K
34,1,203034,Bachelors,13,4,Sales,Not-in-family,White,1,0,2824,50,United-States,>50K
37,1,188774,Bachelors,13,0,Exec-managerial,Not-in-family,White,1,0,2824,40,United-States,>50K
37,3,107164,10th,6,0,Transport-moving,Not-in-family,White,1,0,2559,50,United-States,>50K
38,1,175360,10th,6,0,Prof-specialty,Not-in-family,White,1,0,2559,90,United-States,>50K
23,1,44064,Some-college,10,4,Other-service,Not-in-family,White,1,0,2559,40,United-States,>50K
59,3,107287,10th,6,6,Exec-managerial,Unmarried,White,0,0,2559,50,United-States,>50K
52,1,198863,Prof-school,15,5,Exec-managerial,Not-in-family,White,1,0,2559,60,United-States,>50K
51,1,123011,Bachelors,13,5,Exec-managerial,Not-in-family,White,1,0,2559,50,United-States,>50K
60,2,205246,HS-grad,9,0,Exec-managerial,Not-in-family,Black,1,0,2559,50,United-States,>50K
63,4,39181,Doctorate,16,5,Exec-managerial,Not-in-family,White,0,0,2559,60,United-States,>50K
53,1,149650,HS-grad,9,0,Sales,Not-in-family,White,1,0,2559,48,United-States,>50K
51,1,197163,Prof-school,15,0,Prof-specialty,Not-in-family,White,0,0,2559,50,United-States,>50K
37,2,137527,Doctorate,16,0,Prof-specialty,Not-in-family,White,0,0,2559,60,United-States,>50K
54,1,161691,Masters,14,5,Prof-specialty,Not-in-family,White,0,0,2559,40,United-States,>50K
44,1,326232,Bachelors,13,5,Exec-managerial,Unmarried,White,1,0,2547,50,United-States,>50K
43,1,115806,Masters,14,5,Exec-managerial,Unmarried,White,0,0,2547,40,United-States,>50K
51,1,115066,Some-college,10,5,Adm-clerical,Unmarried,White,0,0,2547,40,United-States,>50K
43,1,289669,Masters,14,5,Prof-specialty,Unmarried,White,0,0,2547,40,United-States,>50K
48,1,121253,Bachelors,13,3,Sales,Unmarried,White,0,0,2472,70,United-States,>50K
40,2,335549,Prof-school,15,0,Prof-specialty,Not-in-family,White,1,0,2444,45,United-States,>50K
50,1,237729,HS-grad,9,6,Sales,Not-in-family,White,0,0,2444,72,United-States,>50K
51,0,68898,Assoc-voc,11,5,Tech-support,Not-in-family,White,1,0,2444,39,United-States,>50K
42,1,107276,Some-college,10,0,Exec-managerial,Not-in-family,White,0,0,2444,40,United-States,>50K
39,1,141584,Masters,14,0,Sales,Not-in-family,White,1,0,2444,45,United-States,>50K
32,1,207668,Bachelors,13,0,Exec-managerial,Other-relative,White,1,0,2444,50,United-States,>50K
53,1,313243,Some-college,10,4,Craft-repair,Not-in-family,White,1,0,2444,45,United-States,>50K
40,5,147372,Some-college,10,0,Protective-serv,Not-in-family,White,1,0,2444,40,United-States,>50K
38,1,237608,Bachelors,13,0,Sales,Not-in-family,White,0,0,2444,45,United-States,>50K
33,1,194901,Assoc-voc,11,4,Craft-repair,Not-in-family,White,1,0,2444,42,United-States,>50K
43,1,155106,Assoc-acdm,12,5,Craft-repair,Not-in-family,White,1,0,2444,70,United-States,>50K
50,3,121441,11th,7,0,Exec-managerial,Other-relative,White,1,0,2444,40,United-States,>50K
44,1,162028,Some-college,10,1,Adm-clerical,Wife,White,0,0,2415,6,United-States,>50K
51,2,160724,Bachelors,13,1,Sales,Husband,Asian-Pac-Islander,1,0,2415,40,China,>50K
41,1,132222,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,40,United-States,>50K
60,3,226355,Assoc-voc,11,1,Machine-op-inspct,Husband,White,1,0,2415,70,?,>50K
37,1,329980,Masters,14,1,Exec-managerial,Husband,White,1,0,2415,60,United-States,>50K
55,3,124137,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,35,Greece,>50K
39,3,329980,Bachelors,13,1,Sales,Husband,White,1,0,2415,60,United-States,>50K
42,3,187702,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,60,United-States,>50K
49,1,199029,Bachelors,13,1,Sales,Husband,White,1,0,2415,55,United-States,>50K
47,2,145290,HS-grad,9,1,Exec-managerial,Husband,White,1,0,2415,50,United-States,>50K
41,5,297248,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,45,United-States,>50K
55,3,227856,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,50,United-States,>50K
39,1,179731,Masters,14,1,Exec-managerial,Wife,White,0,0,2415,65,United-States,>50K
42,1,154374,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,60,United-States,>50K
41,?,27187,Assoc-voc,11,1,?,Husband,White,1,0,2415,12,United-States,>50K
46,1,326857,Masters,14,1,Sales,Husband,White,1,0,2415,65,United-States,>50K
40,1,160369,Masters,14,1,Exec-managerial,Husband,White,1,0,2415,45,United-States,>50K
32,1,396745,Bachelors,13,1,Prof-specialty,Husband,White,1,0,2415,48,United-States,>50K
41,3,151089,Some-college,10,1,Exec-managerial,Husband,White,1,0,2415,55,United-States,>50K
60,3,336188,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,80,United-States,>50K
31,1,279015,Masters,14,1,Exec-managerial,Husband,White,1,0,2415,70,Taiwan,>50K
58,2,43221,Some-college,10,1,Farming-fishing,Husband,White,1,0,2415,40,United-States,>50K
37,3,30529,Bachelors,13,1,Sales,Husband,White,1,0,2415,50,United-States,>50K
44,2,201742,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,50,United-States,>50K
39,2,218490,Prof-school,15,1,Prof-specialty,Husband,White,1,0,2415,50,?,>50K
43,4,156996,Prof-school,15,1,Prof-specialty,Husband,Asian-Pac-Islander,1,0,2415,55,?,>50K
55,3,298449,Bachelors,13,1,Exec-managerial,Husband,White,1,0,2415,50,United-States,>50K
44,3,191712,Masters,14,1,Prof-specialty,Husband,White,1,0,2415,55,United-States,>50K
39,1,198654,Prof-school,15,1,Prof-specialty,Husband,Asian-Pac-Islander,1,0,2415,67,India,>50K
46,2,102308,Bachelors,13,1,Sales,Husband,White,1,0,2415,40,United-States,>50K
39,1,348521,Some-college,10,1,Farming-fishing,Husband,White,1,0,2415,99,United-States,>50K
62,3,56248,Bachelors,13,1,Farming-fishing,Husband,White,1,0,2415,60,United-States,>50K
